cycle,bank_name,share_donations_d,n_donations_all,dem_55,dem_60,share_donations_d_imp,n_donations_imp,dem_55_imp,dem_60_imp,dem_dollar,gop_dollar,gvkey_bank,kempf_share,kempf_dem
2002,Bofa Securities,0.6153846153846154,312,TRUE,TRUE,NA,NA,NA,NA,55200,211565,11856,0.206923696886773,0
2002,Cit Group Incorporated,0,1,FALSE,FALSE,NA,NA,NA,NA,750,2500,149738,0.23076923076923078,0
2002,First Bank National Association,0.3333333333333333,9,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,Goldman Sachs and Company,0.7931034482758621,116,TRUE,TRUE,NA,NA,NA,NA,2649240,1371695,114628,0.6588616826683346,1
2002,Jefferies,0,1,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,JP Morgan,0.918918918918919,37,TRUE,TRUE,NA,NA,NA,NA,867629,703914,2968,0.55208734345799,1
2002,Keybank,0.07692307692307693,13,FALSE,FALSE,NA,NA,NA,NA,33100,118037,9783,0.2190065966639539,0
2002,Morgan Stanley,0.672514619883041,171,TRUE,TRUE,NA,NA,NA,NA,727210,1360302,12124,0.3483620692958891,0
2002,Northern Trust Corporation,1,6,TRUE,TRUE,NA,NA,NA,NA,71475,33850,7982,0.6786138143840493,1
2002,PNC Bank,0.5,4,NA,NA,NA,NA,NA,NA,37350,82770,8245,0.31093906093906093,0
2002,Regions Bank,0.25,12,FALSE,FALSE,NA,NA,NA,NA,16200,72130,4674,0.18340314728857693,0
2002,State Street Bank,1,4,TRUE,TRUE,NA,NA,NA,NA,62700,5750,10035,0.9159970781592404,1
2002,Truist Financial,0.6153846153846154,13,TRUE,TRUE,NA,NA,NA,NA,55200,211565,11856,0.206923696886773,0
2002,Wells Fargo and Company,0.27906976744186046,43,FALSE,FALSE,NA,NA,NA,NA,234150,453542,8007,0.3404867295242638,0
2004,Bofa Securities,0.4714104193138501,787,NA,NA,0.3711340206185567,97,FALSE,FALSE,109477,531519,11856,0.17079201742288563,0
2004,Cit Group Incorporated,0,1,FALSE,FALSE,NA,NA,NA,NA,4450,15750,149738,0.2202970297029703,0
