"","date","cycle","amount","recipcode","occupation","employer","orgname","contribid"
"1","06/17/2002",2002,200,"PB","","BANK OF AMERICA","","b0060541592 "
"2","12/31/2001",2002,250,"PI","","GOLDMAN SACHS","","f1100306547 "
"3","12/20/2001",2002,1000,"RI","","FIRST BANK","First Bank","g1100398491 "
"4","12/05/2001",2002,250,"RW","","FIRST BANK","First Bank","g1100564821 "
"5","06/04/2002",2002,200,"RW","","BANK OF AMERICA","Investments","a0001662760 "
"6","08/26/2002",2002,250,"DW","","REGIONS BANK","Regions Bank","g1100802590 "
"7","06/05/2002",2002,250,"RW","","REGIONS BANK","Regions Bank","g1100745149 "
"8","07/02/2002",2002,200,"RW","","REGIONS BANK","Regions Bank","d1007791721 "
"9","08/01/2001",2002,200,"RW","","PNC BANK","PNC Bank Corp","b06083590791"
"10","06/08/2002",2002,1000,"RI","","PNC BANK","PNC Bank Corp","g1100781625 "
"11","06/30/2001",2002,500,"DW","","STATE STREET","State Street Bank & Trust","g1100471163 "
"12","06/27/2002",2002,2000,"DP","","MERRILL LYNCH","Merrill Lynch","c0070058291 "
"13","04/30/2001",2002,10000,"DP","","GOLDMAN SACHS","Goldman Sachs","U00000035611"
"14","08/21/2002",2002,200,"RW","","BANK OF AMERICA","Bank of America","g1100774100 "
"15","09/30/2002",2002,573,"DL","","JP MORGAN","JPMorgan Chase & Co","g1100637874U"
"16","05/14/2002",2002,900,"DL","","MERRILL LYNCH","Merrill Lynch","f0000067841 "
"17","08/15/2002",2002,2000,"DP","","MORGAN STANLEY","Morgan Stanley","e1110792808 "
"18","09/24/2002",2002,627,"RW","","KEY BANK","KeyCorp","g1100888328 "
"19","05/15/2002",2002,2000,"DP","","GOLDMAN SACHS","Goldman Sachs","U0000003559A"
"20","04/30/2001",2002,1000,"DI","","JP MORGAN","JP Morgan H&Q","a0001145039 "
"21","01/24/2001",2002,3264,"RP","","GOLDMAN SACHS","Goldman Sachs","e11106721231"
"22","06/11/2002",2002,300,"DL","","GOLDMAN SACHS","Goldman Sachs","U00000001941"
"23","04/30/2001",2002,10000,"DP","","GOLDMAN SACHS","Goldman Sachs","U00000035611"
"24","08/15/2002",2002,10000,"DP","","GOLDMAN SACHS","Goldman Sachs","a00000636791"
"25","01/31/2001",2002,2210,"RP","","MORGAN STANLEY","Morgan Stanley","f0000123641 "
"26","07/30/2002",2002,10000,"DP","","GOLDMAN SACHS","Goldman Sachs","U00000035601"
"27","08/14/2002",2002,20000,"DP","","GOLDMAN SACHS","Goldman Sachs","U0000003559A"
"28","08/22/2002",2002,20000,"DP","","GOLDMAN SACHS","Goldman Sachs","U0000003827 "
"29","09/17/2001",2002,10000,"DP","","GOLDMAN SACHS","Goldman Sachs","f00000239351"
"30","12/18/2001",2002,2000,"RI","","FIRST BANK","FirstBank","U00000043631"
"31","06/27/2002",2002,2000,"DP","","MERRILL LYNCH","Merrill Lynch","c0070058291 "
"32","08/14/2002",2002,20000,"DP","","GOLDMAN SACHS","Goldman Sachs","U00000043291"
"33","09/06/2002",2002,5000,"DP","","GOLDMAN SACHS","Goldman Sachs","U00000035571"
"34","05/14/2002",2002,400,"DP","","BANK OF AMERICA","Bank of America","d0000857523 "
"35","06/29/2001",2002,6666,"DP","","GOLDMAN SACHS","Goldman Sachs","U00000000561"
"36","06/29/2001",2002,6666,"DP","","GOLDMAN SACHS","Goldman Sachs","U0000003559A"
"37","05/08/2002",2002,10000,"RP","","MORGAN STANLEY","Morgan Stanley","g11005277751"
"38","06/12/2001",2002,5000,"DP","","GOLDMAN SACHS","Goldman Sachs","g1100470607 "
"39","10/14/2002",2002,2500,"DP","","GOLDMAN SACHS","Goldman Sachs","d1006646020 "
"40","05/22/2002",2002,10000,"DP","","GOLDMAN SACHS","Goldman Sachs","f1000638865 "
"41","11/07/2001",2002,750,"RL","","WELLS FARGO","Wells Fargo","g1100556689 "
"42","12/27/2001",2002,-1000,"RI","","FIRST BANK","FirstBank","U00000043631"
"43","09/06/2002",2002,10000,"DP","","GOLDMAN SACHS","Goldman Sachs","U00000043711"
"44","07/31/2001",2002,10000,"RP","","MORGAN STANLEY","Morgan Stanley","g11005277751"
"45","12/18/2001",2002,5000,"DP","","GOLDMAN SACHS","Goldman Sachs","f1000638865 "
"46","12/31/2001",2002,400,"DL","","BANK OF AMERICA","Bank of America","g1100550924 "
"47","08/20/2001",2002,5000,"DP","","GOLDMAN SACHS","Goldman Sachs","d1006914850 "
"48","01/10/2001",2002,5000,"RP","","MORGAN STANLEY","Morgan Stanley","e1110651620 "
