gvkey,indfmt,datafmt,consol,popsrc,curcd,fyear,datadate,tic,conm,costat
002002,BANK,STD,C,D,USD,2010,20101231,BPOP,POPULAR INC,A
002002,BANK,STD,C,D,USD,2011,20111231,BPOP,POPULAR INC,A
002002,BANK,STD,C,D,USD,2012,20121231,BPOP,POPULAR INC,A
002002,BANK,STD,C,D,USD,2013,20131231,BPOP,POPULAR INC,A
002002,BANK,STD,C,D,USD,2014,20141231,BPOP,POPULAR INC,A
002002,BANK,STD,C,D,USD,2015,20151231,BPOP,POPULAR INC,A
002002,BANK,STD,C,D,USD,2016,20161231,BPOP,POPULAR INC,A
002002,BANK,STD,C,D,USD,2017,20171231,BPOP,POPULAR INC,A
002002,BANK,STD,C,D,USD,2018,20181231,BPOP,POPULAR INC,A
002002,BANK,STD,C,D,USD,2019,20191231,BPOP,POPULAR INC,A
002002,BANK,STD,C,D,USD,2020,20201231,BPOP,POPULAR INC,A
002005,BANK,STD,C,D,USD,2010,20101231,BOH,BANK OF HAWAII CORP,A
002005,BANK,STD,C,D,USD,2011,20111231,BOH,BANK OF HAWAII CORP,A
002005,BANK,STD,C,D,USD,2012,20121231,BOH,BANK OF HAWAII CORP,A
002005,BANK,STD,C,D,USD,2013,20131231,BOH,BANK OF HAWAII CORP,A
002005,BANK,STD,C,D,USD,2014,20141231,BOH,BANK OF HAWAII CORP,A
002005,BANK,STD,C,D,USD,2015,20151231,BOH,BANK OF HAWAII CORP,A
002005,BANK,STD,C,D,USD,2016,20161231,BOH,BANK OF HAWAII CORP,A
002005,BANK,STD,C,D,USD,2017,20171231,BOH,BANK OF HAWAII CORP,A
002005,BANK,STD,C,D,USD,2018,20181231,BOH,BANK OF HAWAII CORP,A
002005,BANK,STD,C,D,USD,2019,20191231,BOH,BANK OF HAWAII CORP,A
002005,BANK,STD,C,D,USD,2020,20201231,BOH,BANK OF HAWAII CORP,A
002019,BANK,STD,C,D,USD,2010,20101231,BK,BANK OF NEW YORK MELLON CORP,A
002019,BANK,STD,C,D,USD,2011,20111231,BK,BANK OF NEW YORK MELLON CORP,A
002019,BANK,STD,C,D,USD,2012,20121231,BK,BANK OF NEW YORK MELLON CORP,A
002019,BANK,STD,C,D,USD,2013,20131231,BK,BANK OF NEW YORK MELLON CORP,A
002019,BANK,STD,C,D,USD,2014,20141231,BK,BANK OF NEW YORK MELLON CORP,A
002019,BANK,STD,C,D,USD,2015,20151231,BK,BANK OF NEW YORK MELLON CORP,A
002019,BANK,STD,C,D,USD,2016,20161231,BK,BANK OF NEW YORK MELLON CORP,A
002019,BANK,STD,C,D,USD,2017,20171231,BK,BANK OF NEW YORK MELLON CORP,A
002019,BANK,STD,C,D,USD,2018,20181231,BK,BANK OF NEW YORK MELLON CORP,A
002019,BANK,STD,C,D,USD,2019,20191231,BK,BANK OF NEW YORK MELLON CORP,A
002019,BANK,STD,C,D,USD,2020,20201231,BK,BANK OF NEW YORK MELLON CORP,A
002620,BANK,STD,C,D,USD,2010,20101231,0176A,MUFG AMERICAS HOLDINGS CORP,A
002620,BANK,STD,C,D,USD,2011,20111231,0176A,MUFG AMERICAS HOLDINGS CORP,A
002620,BANK,STD,C,D,USD,2012,20121231,0176A,MUFG AMERICAS HOLDINGS CORP,A
002620,BANK,STD,C,D,USD,2013,20131231,0176A,MUFG AMERICAS HOLDINGS CORP,A
002620,BANK,STD,C,D,USD,2014,20141231,0176A,MUFG AMERICAS HOLDINGS CORP,A
002620,BANK,STD,C,D,USD,2015,20151231,0176A,MUFG AMERICAS HOLDINGS CORP,A
002620,BANK,STD,C,D,USD,2016,20161231,0176A,MUFG AMERICAS HOLDINGS CORP,A
002620,BANK,STD,C,D,USD,2017,20171231,0176A,MUFG AMERICAS HOLDINGS CORP,A
002620,BANK,STD,C,D,USD,2018,20181231,0176A,MUFG AMERICAS HOLDINGS CORP,A
002620,BANK,STD,C,D,USD,2019,20191231,0176A,MUFG AMERICAS HOLDINGS CORP,A
002620,BANK,STD,C,D,USD,2020,20201231,0176A,MUFG AMERICAS HOLDINGS CORP,A
002849,BANK,STD,C,D,USD,2010,20101231,BBVA1,BBVA COMPASS BANCSHARES INC,A
002849,BANK,STD,C,D,USD,2011,20111231,BBVA1,BBVA COMPASS BANCSHARES INC,A
002849,BANK,STD,C,D,USD,2012,20121231,BBVA1,BBVA COMPASS BANCSHARES INC,A
002849,BANK,STD,C,D,USD,2013,20131231,BBVA1,BBVA COMPASS BANCSHARES INC,A
002849,BANK,STD,C,D,USD,2014,20141231,BBVA1,BBVA COMPASS BANCSHARES INC,A
002849,BANK,STD,C,D,USD,2015,20151231,BBVA1,BBVA COMPASS BANCSHARES INC,A
002849,BANK,STD,C,D,USD,2016,20161231,BBVA1,BBVA COMPASS BANCSHARES INC,A
002849,BANK,STD,C,D,USD,2017,20171231,BBVA1,BBVA COMPASS BANCSHARES INC,A
002849,BANK,STD,C,D,USD,2018,20181231,BBVA1,BBVA COMPASS BANCSHARES INC,A
002849,BANK,STD,C,D,USD,2019,20191231,BBVA1,BBVA COMPASS BANCSHARES INC,A
002849,BANK,STD,C,D,USD,2020,20201231,BBVA1,BBVA COMPASS BANCSHARES INC,A
002968,BANK,STD,C,D,USD,2010,20101231,JPM,JPMORGAN CHASE & CO,A
002968,BANK,STD,C,D,USD,2011,20111231,JPM,JPMORGAN CHASE & CO,A
002968,BANK,STD,C,D,USD,2012,20121231,JPM,JPMORGAN CHASE & CO,A
002968,BANK,STD,C,D,USD,2013,20131231,JPM,JPMORGAN CHASE & CO,A
002968,BANK,STD,C,D,USD,2014,20141231,JPM,JPMORGAN CHASE & CO,A
002968,BANK,STD,C,D,USD,2015,20151231,JPM,JPMORGAN CHASE & CO,A
002968,BANK,STD,C,D,USD,2016,20161231,JPM,JPMORGAN CHASE & CO,A
002968,BANK,STD,C,D,USD,2017,20171231,JPM,JPMORGAN CHASE & CO,A
002968,BANK,STD,C,D,USD,2018,20181231,JPM,JPMORGAN CHASE & CO,A
002968,BANK,STD,C,D,USD,2019,20191231,JPM,JPMORGAN CHASE & CO,A
002968,BANK,STD,C,D,USD,2020,20201231,JPM,JPMORGAN CHASE & CO,A
003071,BANK,STD,C,D,USD,2010,20101231,CRBC,CITIZENS REPUBLIC BANCORP,I
003071,BANK,STD,C,D,USD,2011,20111231,CRBC,CITIZENS REPUBLIC BANCORP,I
003071,BANK,STD,C,D,USD,2012,20121231,CRBC,CITIZENS REPUBLIC BANCORP,I
003082,BANK,STD,C,D,USD,2010,20101231,CYN.1,CITY NATIONAL CORP,I
003082,BANK,STD,C,D,USD,2011,20111231,CYN.1,CITY NATIONAL CORP,I
003082,BANK,STD,C,D,USD,2012,20121231,CYN.1,CITY NATIONAL CORP,I
003082,BANK,STD,C,D,USD,2013,20131231,CYN.1,CITY NATIONAL CORP,I
003082,BANK,STD,C,D,USD,2014,20141231,CYN.1,CITY NATIONAL CORP,I
003231,BANK,STD,C,D,USD,2010,20101231,CMA,COMERICA INC,A
003231,BANK,STD,C,D,USD,2011,20111231,CMA,COMERICA INC,A
003231,BANK,STD,C,D,USD,2012,20121231,CMA,COMERICA INC,A
003231,BANK,STD,C,D,USD,2013,20131231,CMA,COMERICA INC,A
003231,BANK,STD,C,D,USD,2014,20141231,CMA,COMERICA INC,A
003231,BANK,STD,C,D,USD,2015,20151231,CMA,COMERICA INC,A
003231,BANK,STD,C,D,USD,2016,20161231,CMA,COMERICA INC,A
003231,BANK,STD,C,D,USD,2017,20171231,CMA,COMERICA INC,A
003231,BANK,STD,C,D,USD,2018,20181231,CMA,COMERICA INC,A
003231,BANK,STD,C,D,USD,2019,20191231,CMA,COMERICA INC,A
003231,BANK,STD,C,D,USD,2020,20201231,CMA,COMERICA INC,A
003238,BANK,STD,C,D,USD,2010,20101231,CBSH,COMMERCE BANCSHARES INC,A
003238,BANK,STD,C,D,USD,2011,20111231,CBSH,COMMERCE BANCSHARES INC,A
003238,BANK,STD,C,D,USD,2012,20121231,CBSH,COMMERCE BANCSHARES INC,A
003238,BANK,STD,C,D,USD,2013,20131231,CBSH,COMMERCE BANCSHARES INC,A
003238,BANK,STD,C,D,USD,2014,20141231,CBSH,COMMERCE BANCSHARES INC,A
003238,BANK,STD,C,D,USD,2015,20151231,CBSH,COMMERCE BANCSHARES INC,A
003238,BANK,STD,C,D,USD,2016,20161231,CBSH,COMMERCE BANCSHARES INC,A
003238,BANK,STD,C,D,USD,2017,20171231,CBSH,COMMERCE BANCSHARES INC,A
003238,BANK,STD,C,D,USD,2018,20181231,CBSH,COMMERCE BANCSHARES INC,A
003238,BANK,STD,C,D,USD,2019,20191231,CBSH,COMMERCE BANCSHARES INC,A
003238,BANK,STD,C,D,USD,2020,20201231,CBSH,COMMERCE BANCSHARES INC,A
003643,BANK,STD,C,D,USD,2010,20101231,CFR,CULLEN/FROST BANKERS INC,A
003643,BANK,STD,C,D,USD,2011,20111231,CFR,CULLEN/FROST BANKERS INC,A
003643,BANK,STD,C,D,USD,2012,20121231,CFR,CULLEN/FROST BANKERS INC,A
